id,title,author,alt_titles,alt_authors,year,publisher,contains_ids
braiding-sweetgrass-kimmerer,Braiding Sweetgrass,Robin Wall Kimmerer,,"Kimmerer, Robin Wall",,,
21-things-you-may-not-know-joseph,21 Things You May Not Know About the Indian Act,Bob Joseph,,"Joseph, Bob",,,
from-the-ashes-thistle,From the Ashes,Jesse Thistle,,"Thistle, Jesse",,,
heart-berries-mailhot,Heart Berries,Terese Marie Mailhot,,"Mailhot, Terese Marie",,,
three-day-road-boyden,Three Day Road,Joseph Boyden,,"Boyden, Joseph",,,
through-black-spruce-boyden,Through Black Spruce,Joseph Boyden,,"Boyden, Joseph",,,
orenda-boyden,The Orenda,Joseph Boyden,,"Boyden, Joseph",,,
firm-grisham,The Firm,John Grisham,,"Grisham, John",,,
time-to-kill-grisham,A Time to Kill,John Grisham,,"Grisham, John",,,
pelican-brief-grisham,The Pelican Brief,John Grisham,,"Grisham, John",,,
client-grisham,The Client,John Grisham,,"Grisham, John",,,
rainmaker-grisham,The Rainmaker,John Grisham,,"Grisham, John",,,
runaway-jury-grisham,The Runaway Jury,John Grisham,,"Grisham, John",,,
testament-grisham,The Testament,John Grisham,,"Grisham, John",,,
racketeer-grisham,The Racketeer,John Grisham,,"Grisham, John",,,
camino-island-grisham,Camino Island,John Grisham,,"Grisham, John",,,
along-came-a-spider-patterson,Along Came a Spider,James Patterson,,"Patterson, James",,,
kiss-the-girls-patterson,Kiss the Girls,James Patterson,,"Patterson, James",,,
cat-and-mouse-patterson,Cat and Mouse,James Patterson,,"Patterson, James",,,
1st-to-die-patterson,1st to Die,James Patterson,First to Die,"Patterson, James",,,
postcard-killers-patterson,The Postcard Killers,James Patterson,,"Patterson, James",,,
absolute-power-baldacci,Absolute Power,David Baldacci,,"Baldacci, David",,,
total-control-baldacci,Total Control,David Baldacci,,"Baldacci, David",,,
camel-club-baldacci,The Camel Club,David Baldacci,,"Baldacci, David",,,
memory-man-baldacci,Memory Man,David Baldacci,,"Baldacci, David",,,
innocent-baldacci,The Innocent,David Baldacci,,"Baldacci, David",,,
raise-the-titanic-cussler,Raise the Titanic,Clive Cussler,,"Cussler, Clive",,,
sahara-cussler,Sahara,Clive Cussler,,"Cussler, Clive",,,
inca-gold-cussler,Inca Gold,Clive Cussler,,"Cussler, Clive",,,
treasure-cussler,Treasure,Clive Cussler,,"Cussler, Clive",,,
dragon-cussler,Dragon,Clive Cussler,,"Cussler, Clive",,,
black-echo-connelly,The Black Echo,Michael Connelly,,"Connelly, Michael",,,
lincoln-lawyer-connelly,The Lincoln Lawyer,Michael Connelly,,"Connelly, Michael",,,
poet-connelly,The Poet,Michael Connelly,,"Connelly, Michael",,,
city-of-bones-connelly,City of Bones,Michael Connelly,,"Connelly, Michael",,,
concrete-blonde-connelly,The Concrete Blonde,Michael Connelly,,"Connelly, Michael",,,
postmortem-cornwell,Postmortem,Patricia Cornwell,,"Cornwell, Patricia",,,
body-of-evidence-cornwell,Body of Evidence,Patricia Cornwell,,"Cornwell, Patricia",,,
all-that-remains-cornwell,All That Remains,Patricia Cornwell,,"Cornwell, Patricia",,,
cruel-and-unusual-cornwell,Cruel and Unusual,Patricia Cornwell,,"Cornwell, Patricia",,,
killing-floor-child,Killing Floor,Lee Child,,"Child, Lee",,,
die-trying-child,Die Trying,Lee Child,,"Child, Lee",,,
tripwire-child,Tripwire,Lee Child,,"Child, Lee",,,
one-shot-child,One Shot,Lee Child,,"Child, Lee",,,
hard-way-child,The Hard Way,Lee Child,,"Child, Lee",,,
american-assassin-flynn,American Assassin,Vince Flynn,,"Flynn, Vince",,,
transfer-of-power-flynn,Transfer of Power,Vince Flynn,,"Flynn, Vince",,,
consent-to-kill-flynn,Consent to Kill,Vince Flynn,,"Flynn, Vince",,,
bourne-identity-ludlum,The Bourne Identity,Robert Ludlum,,"Ludlum, Robert",,,
bourne-supremacy-ludlum,The Bourne Supremacy,Robert Ludlum,,"Ludlum, Robert",,,
bourne-ultimatum-ludlum,The Bourne Ultimatum,Robert Ludlum,,"Ludlum, Robert",,,
scarlatti-inheritance-ludlum,The Scarlatti Inheritance,Robert Ludlum,,"Ludlum, Robert",,,
eye-of-the-needle-follett,The Eye of the Needle,Ken Follett,,"Follett, Ken",,,
pillars-of-the-earth-follett,The Pillars of the Earth,Ken Follett,,"Follett, Ken",,,
world-without-end-follett,World Without End,Ken Follett,,"Follett, Ken",,,
column-of-fire-follett,A Column of Fire,Ken Follett,,"Follett, Ken",,,
fall-of-giants-follett,Fall of Giants,Ken Follett,,"Follett, Ken",,,
key-to-rebecca-follett,The Key to Rebecca,Ken Follett,,"Follett, Ken",,,
one-for-the-money-evanovich,One for the Money,Janet Evanovich,,"Evanovich, Janet",,,
two-for-the-dough-evanovich,Two for the Dough,Janet Evanovich,,"Evanovich, Janet",,,
three-to-get-deadly-evanovich,Three to Get Deadly,Janet Evanovich,,"Evanovich, Janet",,,
hard-eight-evanovich,Hard Eight,Janet Evanovich,,"Evanovich, Janet",,,
bone-collector-deaver,The Bone Collector,Jeffery Deaver,,"Deaver, Jeffery",,,
coffin-dancer-deaver,The Coffin Dancer,Jeffery Deaver,,"Deaver, Jeffery",,,
tell-no-one-coben,Tell No One,Harlan Coben,,"Coben, Harlan",,,
gone-for-good-coben,Gone for Good,Harlan Coben,,"Coben, Harlan",,,
stranger-coben,The Stranger,Harlan Coben,,"Coben, Harlan",,,
gone-girl-flynn,Gone Girl,Gillian Flynn,,"Flynn, Gillian",,,
sharp-objects-flynn,Sharp Objects,Gillian Flynn,,"Flynn, Gillian",,,
dark-places-flynn,Dark Places,Gillian Flynn,,"Flynn, Gillian",,,
girl-on-the-train-hawkins,The Girl on the Train,Paula Hawkins,,"Hawkins, Paula",,,
into-the-water-hawkins,Into the Water,Paula Hawkins,,"Hawkins, Paula",,,
girl-with-the-dragon-tatto-larsson,The Girl with the Dragon Tattoo,Stieg Larsson,Men Who Hate Women,"Larsson, Stieg",,,
girl-who-played-with-fire-larsson,The Girl Who Played with Fire,Stieg Larsson,,"Larsson, Stieg",,,
girl-who-kicked-the-hornet-larsson,The Girl Who Kicked the Hornets' Nest,Stieg Larsson,,"Larsson, Stieg",,,
still-life-penny,Still Life,Louise Penny,,"Penny, Louise",,,
fatal-grace-penny,A Fatal Grace,Louise Penny,,"Penny, Louise",,,
cruelest-month-penny,The Cruelest Month,Louise Penny,,"Penny, Louise",,,
bury-your-dead-penny,Bury Your Dead,Louise Penny,,"Penny, Louise",,,
still-missing-stevens,Still Missing,Chevy Stevens,,"Stevens, Chevy",,,
pretty-girls-slaughter,Pretty Girls,Karin Slaughter,,"Slaughter, Karin",,,
good-daughter-slaughter,The Good Daughter,Karin Slaughter,,"Slaughter, Karin",,,
before-i-go-to-sleep-watson,Before I Go to Sleep,S.J. Watson,,"Watson, S.J.",,,
woman-in-the-window-finn,The Woman in the Window,A.J. Finn,,"Finn, A.J.",,,
guest-list-foley,The Guest List,Lucy Foley,,"Foley, Lucy",,,
hunting-party-foley,The Hunting Party,Lucy Foley,,"Foley, Lucy",,,
big-little-lies-moriarty,Big Little Lies,Liane Moriarty,,"Moriarty, Liane",,,
husbands-secret-moriarty,The Husband's Secret,Liane Moriarty,,"Moriarty, Liane",,,
nine-perfect-strangers-moriarty,Nine Perfect Strangers,Liane Moriarty,,"Moriarty, Liane",,,
in-a-dark-dark-wood-ware,"In a Dark, Dark Wood",Ruth Ware,,"Ware, Ruth",,,
woman-in-cabin-10-ware,The Woman in Cabin 10,Ruth Ware,,"Ware, Ruth",,,
thursday-murder-club-osman,The Thursday Murder Club,Richard Osman,,"Osman, Richard",,,
angels-and-demons-brown,Angels and Demons,Dan Brown,,"Brown, Dan",,,
lost-symbol-brown,The Lost Symbol,Dan Brown,,"Brown, Dan",,,
inferno-brown,Inferno,Dan Brown,,"Brown, Dan",,,
origin-brown,Origin,Dan Brown,,"Brown, Dan",,,
digital-fortress-brown,Digital Fortress,Dan Brown,,"Brown, Dan",,,
cuckoos-calling-galbraith,The Cuckoo's Calling,Robert Galbraith,,"Galbraith, Robert",,,
silkworm-galbraith,The Silkworm,Robert Galbraith,,"Galbraith, Robert",,,
mystic-river-lehane,Mystic River,Dennis Lehane,,"Lehane, Dennis",,,
shutter-island-lehane,Shutter Island,Dennis Lehane,,"Lehane, Dennis",,,
gorky-park-smith,Gorky Park,Martin Cruz Smith,,"Smith, Martin Cruz",,,
hunt-for-red-october-clancy,The Hunt for Red October,Tom Clancy,,"Clancy, Tom",,,
patriot-games-clancy,Patriot Games,Tom Clancy,,"Clancy, Tom",,,
clear-and-present-danger-clancy,Clear and Present Danger,Tom Clancy,,"Clancy, Tom",,,
sum-of-all-fears-clancy,The Sum of All Fears,Tom Clancy,,"Clancy, Tom",,,
rainbow-six-clancy,Rainbow Six,Tom Clancy,,"Clancy, Tom",,,
eye-of-the-world-jordan,The Eye of the World,Robert Jordan,,"Jordan, Robert",,,
great-hunt-jordan,The Great Hunt,Robert Jordan,,"Jordan, Robert",,,
dragon-reborn-jordan,The Dragon Reborn,Robert Jordan,,"Jordan, Robert",,,
feast-for-crows-martin,A Feast for Crows,George R.R. Martin,,"Martin, George R.R.",,,
dance-with-dragons-martin,A Dance with Dragons,George R.R. Martin,,"Martin, George R.R.",,,
name-of-the-wind-rothfuss,The Name of the Wind,Patrick Rothfuss,,"Rothfuss, Patrick",,,
wise-mans-fear-rothfuss,The Wise Man's Fear,Patrick Rothfuss,,"Rothfuss, Patrick",,,
way-of-kings-sanderson,The Way of Kings,Brandon Sanderson,,"Sanderson, Brandon",,,
words-of-radiance-sanderson,Words of Radiance,Brandon Sanderson,,"Sanderson, Brandon",,,
mistborn-sanderson,Mistborn,Brandon Sanderson,,"Sanderson, Brandon",,,
well-of-ascension-sanderson,The Well of Ascension,Brandon Sanderson,,"Sanderson, Brandon",,,
gardens-of-the-moon-erikson,Gardens of the Moon,Steven Erikson,,"Erikson, Steven",,,
deadhouse-gates-erikson,Deadhouse Gates,Steven Erikson,,"Erikson, Steven",,,
memories-of-ice-erikson,Memories of Ice,Steven Erikson,,"Erikson, Steven",,,
colour-of-magic-pratchett,The Colour of Magic,Terry Pratchett,,"Pratchett, Terry",,,
mort-pratchett,Mort,Terry Pratchett,,"Pratchett, Terry",,,
guards-guards-pratchett,Guards! Guards!,Terry Pratchett,,"Pratchett, Terry",,,
small-gods-pratchett,Small Gods,Terry Pratchett,,"Pratchett, Terry",,,
going-postal-pratchett,Going Postal,Terry Pratchett,,"Pratchett, Terry",,,
lions-of-al-rassan-kay,The Lions of Al-Rassan,Guy Gavriel Kay,,"Kay, Guy Gavriel",,,
tigana-kay,Tigana,Guy Gavriel Kay,,"Kay, Guy Gavriel",,,
summer-tree-kay,The Summer Tree,Guy Gavriel Kay,,"Kay, Guy Gavriel",,,
under-heaven-kay,Under Heaven,Guy Gavriel Kay,,"Kay, Guy Gavriel",,,
neuromancer-gibson,Neuromancer,William Gibson,,"Gibson, William",,,
count-zero-gibson,Count Zero,William Gibson,,"Gibson, William",,,
pattern-recognition-gibson,Pattern Recognition,William Gibson,,"Gibson, William",,,
snow-crash-stephenson,Snow Crash,Neal Stephenson,,"Stephenson, Neal",,,
cryptonomicon-stephenson,Cryptonomicon,Neal Stephenson,,"Stephenson, Neal",,,
seveneves-stephenson,Seveneves,Neal Stephenson,,"Stephenson, Neal",,,
enders-game-card,Ender's Game,Orson Scott Card,,"Card, Orson Scott",,,
speaker-for-the-dead-card,Speaker for the Dead,Orson Scott Card,,"Card, Orson Scott",,,
foundation-asimov,Foundation,Isaac Asimov,,"Asimov, Isaac",,,
i-robot-asimov,"I, Robot",Isaac Asimov,,"Asimov, Isaac",,,
caves-of-steel-asimov,The Caves of Steel,Isaac Asimov,,"Asimov, Isaac",,,
rendezvous-with-rama-clarke,Rendezvous with Rama,Arthur C. Clarke,,"Clarke, Arthur C.",,,
2001-a-space-odyssey-clarke,2001: A Space Odyssey,Arthur C. Clarke,2001 A Space Odyssey,"Clarke, Arthur C.",,,
childhoods-end-clarke,Childhood's End,Arthur C. Clarke,,"Clarke, Arthur C.",,,
starship-troopers-heinlein,Starship Troopers,Robert A. Heinlein,,"Heinlein, Robert A.",,,
stranger-in-a-strange-land-heinlein,Stranger in a Strange Land,Robert A. Heinlein,,"Heinlein, Robert A.",,,
hyperion-simmons,Hyperion,Dan Simmons,,"Simmons, Dan",,,
forever-war-haldeman,The Forever War,Joe Haldeman,,"Haldeman, Joe",,,
do-androids-dream-of-elect-dick,Do Androids Dream of Electric Sheep?,Philip K. Dick,,"Dick, Philip K.",,,
man-in-the-high-castle-dick,The Man in the High Castle,Philip K. Dick,,"Dick, Philip K.",,,
ubik-dick,Ubik,Philip K. Dick,,"Dick, Philip K.",,,
flowers-for-algernon-keyes,Flowers for Algernon,Daniel Keyes,,"Keyes, Daniel",,,
kindred-butler,Kindred,Octavia E. Butler,,"Butler, Octavia E.",,,
parable-of-the-sower-butler,Parable of the Sower,Octavia E. Butler,,"Butler, Octavia E.",,,
fifth-season-jemisin,The Fifth Season,N.K. Jemisin,,"Jemisin, N.K.",,,
ancillary-justice-leckie,Ancillary Justice,Ann Leckie,,"Leckie, Ann",,,
three-body-problem-liu,The Three-Body Problem,Cixin Liu,,"Liu, Cixin",,,
station-eleven-mandel,Station Eleven,Emily St. John Mandel,,"Mandel, Emily St. John",,,
glass-hotel-mandel,The Glass Hotel,Emily St. John Mandel,,"Mandel, Emily St. John",,,
sea-of-tranquility-mandel,Sea of Tranquility,Emily St. John Mandel,,"Mandel, Emily St. John",,,
never-let-me-go-ishiguro,Never Let Me Go,Kazuo Ishiguro,,"Ishiguro, Kazuo",,,
remains-of-the-day-ishiguro,The Remains of the Day,Kazuo Ishiguro,,"Ishiguro, Kazuo",,,
klara-and-the-sun-ishiguro,Klara and the Sun,Kazuo Ishiguro,,"Ishiguro, Kazuo",,,
recursion-crouch,Recursion,Blake Crouch,,"Crouch, Blake",,,
dark-matter-crouch,Dark Matter,Blake Crouch,,"Crouch, Blake",,,
blade-itself-abercrombi,The Blade Itself,Joe Abercrombie,,"Abercrombie, Joe",,,
game-of-thrones-the-graphi-martin,A Game of Thrones: The Graphic Novel,George R.R. Martin,,"Martin, George R.R.",,,
american-psycho-ellis,American Psycho,Bret Easton Ellis,,"Ellis, Bret Easton",,,
sword-of-shannara-brooks,The Sword of Shannara,Terry Brooks,,"Brooks, Terry",,,
magician-feist,Magician,Raymond E. Feist,,"Feist, Raymond E.",,,
assassins-apprentice-hobb,Assassin's Apprentice,Robin Hobb,,"Hobb, Robin",,,
royal-assassin-hobb,Royal Assassin,Robin Hobb,,"Hobb, Robin",,,
golden-fool-hobb,The Golden Fool,Robin Hobb,,"Hobb, Robin",,,
court-of-thorns-and-roses-maas,A Court of Thorns and Roses,Sarah J. Maas,,"Maas, Sarah J.",,,
court-of-mist-and-fury-maas,A Court of Mist and Fury,Sarah J. Maas,,"Maas, Sarah J.",,,
throne-of-glass-maas,Throne of Glass,Sarah J. Maas,,"Maas, Sarah J.",,,
fourth-wing-yarros,Fourth Wing,Rebecca Yarros,,"Yarros, Rebecca",,,
iron-flame-yarros,Iron Flame,Rebecca Yarros,,"Yarros, Rebecca",,,
red-rising-brown,Red Rising,Pierce Brown,,"Brown, Pierce",,,
golden-son-brown,Golden Son,Pierce Brown,,"Brown, Pierce",,,
poppy-war-kuang,The Poppy War,R.F. Kuang,,"Kuang, R.F.",,,
babel-kuang,Babel,R.F. Kuang,,"Kuang, R.F.",,,
piranesi-clarke,Piranesi,Susanna Clarke,,"Clarke, Susanna",,,
jonathan-strange-and-mr-no-clarke,Jonathan Strange and Mr Norrell,Susanna Clarke,,"Clarke, Susanna",,,
night-circus-morgenster,The Night Circus,Erin Morgenstern,,"Morgenstern, Erin",,,
circe-miller,Circe,Madeline Miller,,"Miller, Madeline",,,
song-of-achilles-miller,The Song of Achilles,Madeline Miller,,"Miller, Madeline",,,
eragon-paolini,Eragon,Christopher Paolini,,"Paolini, Christopher",,,
eldest-paolini,Eldest,Christopher Paolini,,"Paolini, Christopher",,,
golden-son-gowda,The Golden Son,Shilpi Somaya Gowda,,"Gowda, Shilpi Somaya",,,
hyperion-cantos-simmons,Hyperion Cantos,Dan Simmons,,"Simmons, Dan",,,
left-hand-of-god-hoffman,The Left Hand of God,Paul Hoffman,,"Hoffman, Paul",,,
wool-howey,Wool,Hugh Howey,,"Howey, Hugh",,,
ready-player-two-cline,Ready Player Two,Ernest Cline,,"Cline, Ernest",,,
andromeda-strain-crichton,The Andromeda Strain,Michael Crichton,,"Crichton, Michael",,,
jurassic-park-crichton,Jurassic Park,Michael Crichton,,"Crichton, Michael",,,
lost-world-crichton,The Lost World,Michael Crichton,,"Crichton, Michael",,,
sphere-crichton,Sphere,Michael Crichton,,"Crichton, Michael",,,
timeline-crichton,Timeline,Michael Crichton,,"Crichton, Michael",,,
prey-crichton,Prey,Michael Crichton,,"Crichton, Michael",,,
congo-crichton,Congo,Michael Crichton,,"Crichton, Michael",,,
rising-sun-crichton,Rising Sun,Michael Crichton,,"Crichton, Michael",,,
disclosure-crichton,Disclosure,Michael Crichton,,"Crichton, Michael",,,
star-wars-heir-to-the-empi-zahn,Star Wars: Heir to the Empire,Timothy Zahn,,"Zahn, Timothy",,,
star-trek-the-wrath-of-kha-mcintyre,Star Trek: The Wrath of Khan,Vonda N. McIntyre,,"McIntyre, Vonda N.",,,
dune-house-atreides-herbert,Dune: House Atreides,Brian Herbert,,"Herbert, Brian",,,
nightingale-hannah,The Nightingale,Kristin Hannah,,"Hannah, Kristin",,,
four-winds-hannah,The Four Winds,Kristin Hannah,,"Hannah, Kristin",,,
great-alone-hannah,The Great Alone,Kristin Hannah,,"Hannah, Kristin",,,
firefly-lane-hannah,Firefly Lane,Kristin Hannah,,"Hannah, Kristin",,,
my-sisters-keeper-picoult,My Sister's Keeper,Jodi Picoult,,"Picoult, Jodi",,,
nineteen-minutes-picoult,Nineteen Minutes,Jodi Picoult,,"Picoult, Jodi",,,
small-great-things-picoult,Small Great Things,Jodi Picoult,,"Picoult, Jodi",,,
notebook-sparks,The Notebook,Nicholas Sparks,,"Sparks, Nicholas",,,
walk-to-remember-sparks,A Walk to Remember,Nicholas Sparks,,"Sparks, Nicholas",,,
lucky-one-sparks,The Lucky One,Nicholas Sparks,,"Sparks, Nicholas",,,
dear-john-sparks,Dear John,Nicholas Sparks,,"Sparks, Nicholas",,,
outlander-gabaldon,Outlander,Diana Gabaldon,,"Gabaldon, Diana",,,
dragonfly-in-amber-gabaldon,Dragonfly in Amber,Diana Gabaldon,,"Gabaldon, Diana",,,
voyager-gabaldon,Voyager,Diana Gabaldon,,"Gabaldon, Diana",,,
beach-read-henry,Beach Read,Emily Henry,,"Henry, Emily",,,
people-we-meet-on-vacation-henry,People We Meet on Vacation,Emily Henry,,"Henry, Emily",,,
book-lovers-henry,Book Lovers,Emily Henry,,"Henry, Emily",,,
verity-hoover,Verity,Colleen Hoover,,"Hoover, Colleen",,,
ugly-love-hoover,Ugly Love,Colleen Hoover,,"Hoover, Colleen",,,
daisy-jones-and-the-six-reid,Daisy Jones and the Six,Taylor Jenkins Reid,,"Reid, Taylor Jenkins",,,
malibu-rising-reid,Malibu Rising,Taylor Jenkins Reid,,"Reid, Taylor Jenkins",,,
midnight-library-haig,The Midnight Library,Matt Haig,,"Haig, Matt",,,
how-to-stop-time-haig,How to Stop Time,Matt Haig,,"Haig, Matt",,,
eleanor-oliphant-is-comple-honeyman,Eleanor Oliphant Is Completely Fine,Gail Honeyman,,"Honeyman, Gail",,,
man-called-ove-backman,A Man Called Ove,Fredrik Backman,,"Backman, Fredrik",,,
anxious-people-backman,Anxious People,Fredrik Backman,,"Backman, Fredrik",,,
beartown-backman,Beartown,Fredrik Backman,,"Backman, Fredrik",,,
rosie-project-simsion,The Rosie Project,Graeme Simsion,,"Simsion, Graeme",,,
curious-incident-of-the-do-haddon,The Curious Incident of the Dog in the Night-Time,Mark Haddon,The Curious Incident of the Dog in the Nighttime,"Haddon, Mark",,,
help-stockett,The Help,Kathryn Stockett,,"Stockett, Kathryn",,,
secret-life-of-bees-kidd,The Secret Life of Bees,Sue Monk Kidd,,"Kidd, Sue Monk",,,
water-for-elephants-gruen,Water for Elephants,Sara Gruen,,"Gruen, Sara",,,
time-travelers-wife-niffenegge,The Time Traveler's Wife,Audrey Niffenegger,,"Niffenegger, Audrey",,,
lovely-bones-sebold,The Lovely Bones,Alice Sebold,,"Sebold, Alice",,,
memoirs-of-a-geisha-golden,Memoirs of a Geisha,Arthur Golden,,"Golden, Arthur",,,
cutting-for-stone-verghese,Cutting for Stone,Abraham Verghese,,"Verghese, Abraham",,,
poisonwood-bible-kingsolver,The Poisonwood Bible,Barbara Kingsolver,,"Kingsolver, Barbara",,,
demon-copperhead-kingsolver,Demon Copperhead,Barbara Kingsolver,,"Kingsolver, Barbara",,,
bean-trees-kingsolver,The Bean Trees,Barbara Kingsolver,,"Kingsolver, Barbara",,,
middlesex-eugenides,Middlesex,Jeffrey Eugenides,,"Eugenides, Jeffrey",,,
virgin-suicides-eugenides,The Virgin Suicides,Jeffrey Eugenides,,"Eugenides, Jeffrey",,,
little-life-yanagihara,A Little Life,Hanya Yanagihara,,"Yanagihara, Hanya",,,
corrections-franzen,The Corrections,Jonathan Franzen,,"Franzen, Jonathan",,,
freedom-franzen,Freedom,Jonathan Franzen,,"Franzen, Jonathan",,,
white-teeth-smith,White Teeth,Zadie Smith,,"Smith, Zadie",,,
on-beauty-smith,On Beauty,Zadie Smith,,"Smith, Zadie",,,
half-of-a-yellow-sun-adichie,Half of a Yellow Sun,Chimamanda Ngozi Adichie,,"Adichie, Chimamanda Ngozi",,,
americanah-adichie,Americanah,Chimamanda Ngozi Adichie,,"Adichie, Chimamanda Ngozi",,,
purple-hibiscus-adichie,Purple Hibiscus,Chimamanda Ngozi Adichie,,"Adichie, Chimamanda Ngozi",,,
things-fall-apart-achebe,Things Fall Apart,Chinua Achebe,,"Achebe, Chinua",,,
god-of-small-things-roy,The God of Small Things,Arundhati Roy,,"Roy, Arundhati",,,
midnights-children-rushdie,Midnight's Children,Salman Rushdie,,"Rushdie, Salman",,,
satanic-verses-rushdie,The Satanic Verses,Salman Rushdie,,"Rushdie, Salman",,,
interpreter-of-maladies-lahiri,Interpreter of Maladies,Jhumpa Lahiri,,"Lahiri, Jhumpa",,,
namesake-lahiri,The Namesake,Jhumpa Lahiri,,"Lahiri, Jhumpa",,,
reluctant-fundamentalist-hamid,The Reluctant Fundamentalist,Mohsin Hamid,,"Hamid, Mohsin",,,
suitable-boy-seth,A Suitable Boy,Vikram Seth,,"Seth, Vikram",,,
shantaram-roberts,Shantaram,Gregory David Roberts,,"Roberts, Gregory David",,,
shadow-of-the-wind-zafon,The Shadow of the Wind,Carlos Ruiz Zafon,,"Zafon, Carlos Ruiz",,,
blindness-saramago,Blindness,Jose Saramago,,"Saramago, Jose",,,
unbearable-lightness-of-be-kundera,The Unbearable Lightness of Being,Milan Kundera,,"Kundera, Milan",,,
perfume-suskind,Perfume,Patrick Suskind,,"Suskind, Patrick",,,
reader-schlink,The Reader,Bernhard Schlink,,"Schlink, Bernhard",,,
all-the-light-we-cannot-se-doerr,All the Light We Cannot See,Anthony Doerr,,"Doerr, Anthony",,,
tattooist-of-auschwitz-morris,The Tattooist of Auschwitz,Heather Morris,,"Morris, Heather",,,
boy-in-the-striped-pyjamas-boyne,The Boy in the Striped Pyjamas,John Boyne,,"Boyne, John",,,
sarahs-key-rosnay,Sarah's Key,Tatiana de Rosnay,,"Rosnay, Tatiana de",,,
guernsey-literary-and-pota-shaffer,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,,"Shaffer, Mary Ann",,,
lessons-in-chemistry-garmus,Lessons in Chemistry,Bonnie Garmus,,"Garmus, Bonnie",,,
tomorrow-and-tomorrow-and-zevin,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,,"Zevin, Gabrielle",,,
pachinko-lee,Pachinko,Min Jin Lee,,"Lee, Min Jin",,,
vanishing-half-bennett,The Vanishing Half,Brit Bennett,,"Bennett, Brit",,,
american-marriage-jones,An American Marriage,Tayari Jones,,"Jones, Tayari",,,
homegoing-gyasi,Homegoing,Yaa Gyasi,,"Gyasi, Yaa",,,
underground-railroad-whitehead,The Underground Railroad,Colson Whitehead,,"Whitehead, Colson",,,
nickel-boys-whitehead,The Nickel Boys,Colson Whitehead,,"Whitehead, Colson",,,
cry-the-beloved-country-paton,"Cry, the Beloved Country",Alan Paton,,"Paton, Alan",,,
thousand-acres-smiley,A Thousand Acres,Jane Smiley,,"Smiley, Jane",,,
road-home-tremain,The Road Home,Rose Tremain,,"Tremain, Rose",,,
life-of-pi-illustrated-martel,Life of Pi Illustrated,Yann Martel,,"Martel, Yann",,,
beatrice-and-virgil-martel,Beatrice and Virgil,Yann Martel,,"Martel, Yann",,,
cider-house-rules-irving,The Cider House Rules,John Irving,,"Irving, John",,,
prayer-for-owen-meany-irving,A Prayer for Owen Meany,John Irving,,"Irving, John",,,
world-according-to-garp-irving,The World According to Garp,John Irving,,"Irving, John",,,
hotel-new-hampshire-irving,The Hotel New Hampshire,John Irving,,"Irving, John",,,
empire-falls-russo,Empire Falls,Richard Russo,,"Russo, Richard",,,
olive-kitteridge-strout,Olive Kitteridge,Elizabeth Strout,,"Strout, Elizabeth",,,
my-name-is-lucy-barton-strout,My Name Is Lucy Barton,Elizabeth Strout,,"Strout, Elizabeth",,,
whered-you-go-bernadette-semple,"Where'd You Go, Bernadette",Maria Semple,,"Semple, Maria",,,
dutch-house-patchett,The Dutch House,Ann Patchett,,"Patchett, Ann",,,
bel-canto-patchett,Bel Canto,Ann Patchett,,"Patchett, Ann",,,
commonwealth-patchett,Commonwealth,Ann Patchett,,"Patchett, Ann",,,
room-at-the-top-braine,Room at the Top,John Braine,,"Braine, John",,,
atonement-mcewan,Atonement,Ian McEwan,,"McEwan, Ian",,,
saturday-mcewan,Saturday,Ian McEwan,,"McEwan, Ian",,,
amsterdam-mcewan,Amsterdam,Ian McEwan,,"McEwan, Ian",,,
never-look-away-barclay,Never Look Away,Linwood Barclay,,"Barclay, Linwood",,,
no-time-for-goodbye-barclay,No Time for Goodbye,Linwood Barclay,,"Barclay, Linwood",,,
accident-barclay,The Accident,Linwood Barclay,,"Barclay, Linwood",,,
tipping-point-gladwell,The Tipping Point,Malcolm Gladwell,,"Gladwell, Malcolm",,,
blink-gladwell,Blink,Malcolm Gladwell,,"Gladwell, Malcolm",,,
outliers-gladwell,Outliers,Malcolm Gladwell,,"Gladwell, Malcolm",,,
david-and-goliath-gladwell,David and Goliath,Malcolm Gladwell,,"Gladwell, Malcolm",,,
talking-to-strangers-gladwell,Talking to Strangers,Malcolm Gladwell,,"Gladwell, Malcolm",,,
what-the-dog-saw-gladwell,What the Dog Saw,Malcolm Gladwell,,"Gladwell, Malcolm",,,
12-rules-for-life-peterson,12 Rules for Life,Jordan B. Peterson,Twelve Rules for Life|12 Rules for Life: An Antidote to Chaos,"Peterson, Jordan B.",,,
beyond-order-peterson,Beyond Order,Jordan B. Peterson,,"Peterson, Jordan B.",,,
no-logo-klein,No Logo,Naomi Klein,,"Klein, Naomi",,,
shock-doctrine-klein,The Shock Doctrine,Naomi Klein,,"Klein, Naomi",,,
this-changes-everything-klein,This Changes Everything,Naomi Klein,,"Klein, Naomi",,,
astronauts-guide-to-life-o-hadfield,An Astronaut's Guide to Life on Earth,Chris Hadfield,Astronaut's Guide to Life on Earth,"Hadfield, Chris",,,
apollo-murders-hadfield,The Apollo Murders,Chris Hadfield,,"Hadfield, Chris",,,
national-dream-berton,The National Dream,Pierre Berton,,"Berton, Pierre",,,
